㞮	deru
倡	wazaogi
倢	satoi
倣	narau
値	ne
倥	nukaru
倦	tsukareru
倧	sou
倨	ogoru
倩	utsukushii
倪	kiwa
倫	tagui
倬	ookii
倭	shitagau
倮	hadaka
倯	okotaru
倰	okasu
倱	kon
倲	orokanasama
倳	sasu
倴	hon
倵	bu
倶	tomoni
倷	nanji
倹	tsuzumayaka
倻	ya
值	ne
偀	hanabusa
偁	ageru
偂	susumu
偃	fuseru
偄	yowai
偅	kodomo
偆	atsui
假	kari
偈	ikou
偉	erai
偊	kugumarusama
偋	hei
偌	konoyouna
偍	yuruyaka
偎	honoka
偏	katayoru
偐	itsuwaru
偑	fuu
偒	matsusugu
偓	kakaharusama
偕	tomoni
偖	sate
偗	matsusugunasama
偘	kan
偙	sugureru
做	tsukuru
偛	warugashikoi
停	todomaru
偝	suteru
偞	karui
偟	tatazumu
偠	shinayaka
偡	sorotsutesusumu
偢	itsukushimanai
偣	kiyoi
偤	haberu
健	sukoyaka
偦	tooru
偧	haru
偨	sorowanai
偩	yorikatadoru
偪	semaru
偫	matsu
偬	kurushimu
偭	mukau
偮	shuu
偯	nageku
偰	kiyoi
偱	noberu
偲	shinobu
偳	chihisai
側	kawa
偵	ukagau
偶	tagui
偷	nusumu
偸	nusumu
偹	sonaeru
偺	san
偻	rou
偽	itsuwaru
傀	ookii
傁	okina
傂	katatagahi
傃	mukau
傄	sukoyakanasama
傅	mori
傆	kozakashii
傇	ooi
傈	ritsu
傊	masaru
傋	hetsurahanu
傌	nonoshiru
傍	katawara
傎	sakasama
傏	ogoru
傐	kou
傑	sugureru
傒	ayahui
傓	sakan
傔	shitagau
傕	kaku
傖	iyashii
傘	kasa
備	sonaeru
傚	narau
傛	kagamu
傜	huzoroi
傝	tan
傞	sa
傟	motoru
傠	somuku
傡	nami
傢	kagu
傤	sai
傪	yoi
催	moyoosu
傭	yatou
傮	owaru
傯	kurushimu
傰	tomo
傱	hayaisama
傲	ogoru
傳	tsutaeru
傴	kagamu
債	kari
傶	chikai
傷	kizu
傸	warui
傹	tsuyoi
傺	tomaru
傻	sa
傽	odoroku
傾	katamuku
傿	kakeneosuru
僀	kurushimu
僁	koe
僂	kagamu
僃	sonaeru
僄	karui
僅	wazukani
僆	hutago
僇	haji
僈	yurui
僉	mina
僊	yamabito
僋	nobirusama
僌	osameru
働	hataraku
僎	sonaeru
像	katachi
僐	otsukurisuru
僑	takai
僓	narau
僔	atsumaru
僕	boku
僖	yorokobu
僗	rau
僘	hiroi
僙	takedakeshiisama
僚	tomo
僛	ki
僜	agaru
僝	sonaeru
僞	itsuwaru
僟	yokutsutsushimu
僠	han
僢	somuku
僣	ogoru
僤	hayai
僥	negau
僦	kariru
僧	bouzu
僨	taoreru
僩	takedakeshiisama
僪	kuruu
僬	hashiru
僭	ogoru
僮	warabe
僯	hajiru
僰	hoku
僱	yatou
僵	taoreru
僶	tsutomeru
僸	aogu
價	atai
僺	nagaisama
僻	higamu
僼	hou
僽	nonoshiru
僾	honoka
僿	usui
儀	yoi
儁	sugureru
儂	washi
儃	tatazumu
億	oshihakaru
儅	owaru
儆	imashimeru
儇	kashikoi
儈	nakagai
儉	tsuzumayaka
儊	shiburu
儋	ninau
儌	yuku
儍	sa
儎	noseru
儐	susumeru
儑	osatsukanai
儒	yawaraka
儓	kerai
儔	tomogara
儕	tomogara
儖	minikui
儗	nazoraeru
儘	kotogotoku
儙	hiraku
儚	kurai
儛	mau
儜	nayamu
儝	matsu
儞	ji
償	tsugunau
儠	ryou
儡	yabureru
儢	tsutomenaisama
儣	kou
儤	tonoru
儥	iru
儦	sakannasama
儧	atsumeru
儨	tadashii
儩	tsukusu
優	yasashii
儬	shin
儭	itaru
儮	reki
儯	mugai
儰	ochitsukanu
儱	desaagaranai
儲	soe
儳	totonohanu
儴	yoru
儵	hayai
儷	tsureai
儸	sabaku
儹	atsumeru
儺	oniyarai
儻	sugureru
儼	ogosoka
儽	okotaru
儿	hito
兀	takai
允	makoto
兂	kanzashi
元	moto
兄	ani
充	ateru
兆	kizasu
兇	osoreru
先	saki
光	hikari
兊	yorokobu
克	katsu
兌	yorokobu
免	manukareru
兎	usagi
兏	nagai
児	ko
兑	yorokobu
兒	ko
兓	surudoi
兔	usagi
兕	shi
兗	kukuru
兘	hajimeru
党	nakama
兜	kabuto
兟	susumu
兢	osoreru
兤	akarui
入	iru
兦	horobiru
內	uchi
全	mattaku
兩	futatsu
兪	shikari
八	yatsu
公	ooyake
六	mutsu
兮	no
共	tomo
兵	tsuwamono
其	sono
具	sonaeru
典	nori
兹	shigeru
兼	kaneru
兾	koinegau
冀	koinegau
冂	tooi
冃	zukin
冄	ayaui
内	uchi
円	marui
冉	yowai
冊	fumi
冋	enagamae
册	fumi
再	futatabi
冎	wakeru
冏	akiraka
冐	okasu
冑	kabuto
冒	okasu
冓	kamaeru
冔	ku
冕	kanmuri
冖	oou
冗	muda
冘	okotaru
写	utsusu
冝	yoroshii
冞	masumasu
冠	kanmuri
冡	oou
冢	tsuka
冣	tsuma
冤	kagamu
冥	kurai
冦	ada
冨	tomu
冩	utsusu
冪	ooi
冫	koori
冬	fuyu
冭	nameraka
冰	koori
冱	kooru
冲	oki
决	kimeru
冴	kooru
况	iwanya
冶	iru
冷	hieru
冸	tokeru
冹	futsu
冺	horobiru
冼	samui
冽	samui
冾	yawaragu
冿	susumu
凂	bai
凄	samui
凅	kooru
准	nazoraeru
凇	tsurara
凈	hiyayakanasama
凉	suzushii
凊	samui
凋	shibomu
凌	shinogu
凍	kooru
减	heru
凐	in
凑	minato
凒	samui
凓	samuisama
凔	samui
凕	koorusama
凖	hitoshii
凗	sai
凘	shi
凙	tsurara
凛	samui
凜	samui
凝	koru
凞	yawaragu
几	tsukue
凡	subete
凢	subete
凣	subete
凤	hou
凥	oru
処	oru
凧	tako
凨	kaze
凩	kogarashi
凪	nagu
凭	yoru
凮	kaze
凰	ootori
凱	kachidoki
凲	kan
凳	hizakakenotagui
凴	hyou
凵	kannyou
凶	warui
凷	tsuchikure
凸	deru
凹	kubomu
出	deru
函	ireru
凾	ireru
刀	katana
刁	teu
刂	ritsutou
刃	ha
刄	ha
刅	kezushikeru
分	wakeru
切	kiru
刈	karu
刉	tatsu
刊	kezuru
刋	kiru
刌	kiru
刎	kubihaneru
刏	tatsu
刐	saku
刑	nori
划	saosasu
刓	kezuru
刔	eguru
刕	saku
刖	kiru
列	tsuraneru
刘	korosu
刜	utsu
初	hajime
刞	sho
刟	tatsu
删	kezuru
刡	kezuru
刢	saku
判	wakeru
別	wakareru
刦	oiyakasu
刧	obyakasu
刨	kezuru
利	kiku
刪	kezuru
别	wakareru
刬	kezuru
刮	kezuru
到	itaru
刱	hajimeru
刲	sasu
刳	eguru
刴	kiru
刵	mimikiri
制	osaeru
刷	suru
券	warifu
刹	hatabashira
刺	sasu
刻	kizamu
刼	kyou
剁	kiru
剃	soru
剄	kubikiru
剅	saku
剆	utsu
則	nori
剉	kujiku
削	kezuru
剋	katsu
剌	motoru
前	mae
剎	hatabashira
剏	hajimeru
剒	kirimigaku
剔	eguru
剕	ashikiru
剖	waru
剗	kezuru
剘	makoto
剙	kizu
剚	sasu
剛	tsuyoi
剜	kezuru
剝	hagu
剞	kizamu
剟	kezuru
剠	irezumi
剡	surudoi
剢	kiru
剣	tsurugi
剤	soroeru
剥	hagu
剦	oou
剨	kaku
剩	amaru
剪	kiru
剫	wakeru
剬	tatsu
剭	tsumisuru
剮	saku
副	sou
剰	amaru
剱	tsurugi
割	waru
剳	kagi
剴	kiru
創	kizu
剷	kezuru
剸	kiru
剹	kezuru
剺	hagu
剻	fuu
剼	karu
剽	obyakasu
剿	tatsu
劀	kezuru
劁	tatsu
劂	kezuru
劃	wakatsu
劄	sasu
劅	taku
劆	kama
劇	hageshii
劈	saku
劉	korosu
劊	tatsu
劋	tatsu
劌	sokonau
劍	tsurugi
劎	tsurugi
劐	saku
劑	soroeru
劒	tsurugi
劓	hanakiru
劔	tsurugi
劕	warifu
劖	tatsu
劗	herisu
劘	kezuru
劙	toku
劚	kiru
力	chikara
劜	tsuyoi
劝	kan
办	hen
功	isao
加	kuwaeru
劣	otoru
劤	chikari
劥	tsuyoi
劦	niwaka
劧	katai
助	tasukeru
努	tsutomeru
劫	obiyakasu
劬	tsukareru
劭	tsutomeru
劮	midara
劯	tsuyoi
劰	tsutomeru
励	hagemu
劲	kei
劳	rou
労	tsukareru
劵	tsukaru
劶	tsutomeru
劷	susumeru
劸	semaru
効	kiku
劺	susumehagemasu
劻	awateru
劼	tsutsushimu
劽	gaaru
劾	sabaku
势	sei
勀	tsutomeru
勁	tsuyoi
勂	kou
勃	niwakani
勄	satoi
勅	imashimeru
勆	tsutoi
勇	isamashii
勈	isamu
勉	tsutomeru
勌	tsutomeru
勍	tsuyoi
勏	tsutomeru
勐	bau
勑	itawaru
勒	kutsuwa
勓	tsutomeru
勔	tsutomeru
動	ugoku
勖	tsutomeru
勗	tsutomeru
勘	kangaeru
務	tsutomeru
勚	itatsuki
勛	isao
勜	tsutoi
勝	katsu
勞	negirau
募	tsunoru
勠	awaseru
勡	kasumeru
勢	ikioi
勣	isao
勤	tsutomeru
勥	semaru
勦	tsukareru
勧	susumeru
勨	yuruyaka
勩	itatsuki
勪	susumu
勫	sukoyaka
勬	tsutomeru
勯	tan
勰	kanau
勱	tsutomeru
勲	isao
勳	isao
勴	tasukeru
勵	hagemu
勶	hanatsu
勷	hashiru
勸	susumeru
勹	tsutsumu
勺	shaku
勻	sukunai
勼	atsumeru
勽	tsutsumu
勾	nozoku
勿	nashi
匀	sukunai
匁	monme
匂	niou
匃	kou
