㞮	deru
四	yotsu
囜	kashikoi
囝	kodomo
回	mawasu
囟	hiyomeki
因	yoru
囡	juu
团	shuu
団	marui
囤	zaru
囥	kura
囦	huchi
囧	akiraka
囨	hen
囪	tenmado
囫	matsutashi
囬	kai
园	gan
囮	otori
囯	koku
困	komaru
囱	tenmado
囲	kakomu
図	hakaru
囶	kuni
囷	kura
囹	rei
固	katameru
囻	koku
国	kuni
囿	sono
圀	kuni
圁	gin
圂	kawaya
圃	hatake
圄	hitoya
圅	ago
圇	rin
圈	kakoi
圉	hitoya
圊	kawaya
國	kuni
圌	marui
圍	kakomu
圎	marui
圏	kakoi
圑	hatake
園	sono
圓	marui
圔	ou
圕	toshokan
圖	hakaru
圗	hakaru
團	marui
圚	mon
圛	meguriyuku
圜	meguru
圝	marui
圞	ran
土	tsuchi
圠	kasuka
圢	tairaka
圣	tagayasu
圤	tsuchikure
圥	kinoko
圦	iri
圧	osaeru
在	zai
圩	tsutsumi
圪	gitsu
圫	au
圬	kote
圭	tama
圮	yaburu
圯	doburu
地	tsuchi
圳	mizo
圴	ato
圷	akutsu
圸	yama
圻	sakai
圽	umeru
圾	ayaui
圿	aka
址	ato
坁	tomaru
坂	saka
坅	ana
坆	haka
均	totonoeru
坉	husagu
坊	machi
坋	chiri
坌	chiri
坍	tan
坎	ana
坏	oka
坐	suwaru
坑	ana
坒	kijihashi
块	kai
坙	kei
坚	ken
坡	tsutsumi
坢	tahiraka
坤	tsuchi
坥	tsutsumi
坦	taira
坧	dodai
坨	kewashii
坩	tsubo
坪	tsubo
坫	sakai
坬	ka
坭	doro
坮	utena
坯	oka
坰	kei
坱	chiri
坲	futsu
坳	kubomi
坴	riku
坵	oka
坶	boku
坷	ka
坹	ketsu
坺	chirinosama
坻	nakisa
坼	sakeru
坽	rei
坾	cho
坿	tsukeru
垀	kamahe
垁	chi
垂	tareru
垃	ratsu
垈	nuta
垉	hou
型	kata
垌	tsubo
垏	rotsu
垐	nikumu
垓	hate
垔	husagu
垕	aka
垗	hauridokoro
垘	kuzureru
垙	chimata
垚	geu
垛	da
垜	tsumikasareru
垝	yabureru
垞	ta
垟	you
垠	sakai
垡	tagayasu
垢	aka
垣	kaki
垤	arizuka
垥	keu
垧	kei
垨	mamooru
垩	hijiri
垪	ha
垬	nukari
垰	tao
垳	gake
垶	sei
垸	marobu
垹	hou
垺	kuruwa
垻	tsutsumi
垼	eki
垽	ori
垾	kan
垿	sho
埀	tareru
埁	tsuchi
埂	ana
埃	chiri
埄	hou
埆	kisou
埇	okitsuchi
埈	sobadatsu
埋	umeru
埌	tsuka
城	shiro
埏	hakamichi
埐	shin
埒	kakoi
埓	kakoi
埔	ho
埕	bin
埖	gomi
埜	no
埝	shita
埞	tsutsumi
域	sakai
埠	tsuka
埡	sato
埢	kuma
埣	karetsuchi
埤	masu
埥	sei
埦	wan
埧	tsutsumi
埩	tagayasu
埫	shou
埬	tou
埭	seki
埮	tan
埯	ana
埰	tsuka
埱	hajime
埲	chiri
埳	kan
埴	hani
埵	ta
埶	ueru
執	toru
埸	sakahi
培	tsuchikau
基	motoi
埻	mato
埼	sai
埽	haku
埾	shu
埿	nuru
堀	hori
堁	oka
堂	takadono
堃	chi
堄	himegaki
堅	katai
堆	uzutakai
堇	nuru
堈	kame
堉	iku
堊	shirotsuchi
堋	houmuru
堌	tsutsumi
堍	to
堕	kuzusu
堘	shou
堙	fusagu
堛	tsuchikure
堜	ren
堝	rutsubo
堞	himegaki
堟	une
堠	monomi
堡	toride
堣	gu
堤	tsutsumi
堥	kaharake
堦	kai
堧	sunatsuchi
堨	ruseki
堩	michi
堪	taeru
堬	tsuka
堭	sotobori
堮	kishi
堯	takai
堰	seki
報	shiraseru
堲	yakitsuchi
堳	kaki
場	ba
堵	kaki
堶	ku
堷	an
堸	fu
堹	tsutsumi
堺	sakai
堻	uruhohi
堼	kou
堽	kou
堿	kan
塀	kaki
塁	toride
塈	nuru
塉	yasetsuchi
塊	katamari
塋	haka
塌	tou
塍	aze
塎	you
塏	kai
塐	deku
塑	deku
塒	negura
塓	nuru
塔	tera
塕	chiri
塖	shou
塗	nuru
塘	tsutsumi
塙	katai
塚	tsuka
塛	husagaru
塜	hokorigatobu
塝	hau
塞	fusagu
塟	houmuuru
塡	fusagu
塢	toride
塣	tohoru
塤	tsuchibue
塥	kaku
塧	kewashii
塨	kyou
塩	shio
填	fusagu
塰	ama
塲	ba
塴	haumuru
塵	chiri
塶	koku
塸	haka
塹	hori
塺	chiri
塻	chiri
塼	kahara
塽	sau
塾	monbeya
塿	tsuchi
墀	kizahashi
墁	kote
墂	hyou
境	sakai
墄	kida
墅	shimoyashiki
墆	takuhaheru
墇	husegu
墈	sakahi
墉	kaki
墊	ochiiru
墋	tsuchi
墌	dodai
墍	nuru
墎	kuwaku
墏	motoru
墐	nuru
墑	kizahashi
墒	shou
墓	haka
墔	sai
墖	tou
増	masu
墜	ochiru
墝	kou
增	masu
墟	ato
墠	sen
墡	shirotsuchi
墢	hatsu
墣	tsuikure
墥	arizuka
墦	tsuka
墨	sumi
墩	ton
墫	shun
墬	chi
墭	sei
墮	kuzure
墯	da
墱	kida
墲	bo
墳	haka
墸	sho
墹	mama
墺	kishi
墻	kaki
墼	keki
墽	suteru
墾	hiraku
墿	michi
壁	kabe
壂	kasu
壄	no
壅	fusagu
壆	kaku
壇	ba
壈	on
壉	kyo
壊	kowasu
壌	tsuchi
壍	hori
壎	hachi
壏	kan
壐	shi
壑	tani
壒	tsuchikemuri
壓	osaeru
壔	toride
壕	hori
壖	akichi
壗	mama
壘	toride
壙	ana
壚	rurori
壛	chimata
壜	bin
壝	dan
壞	kowasu
壟	une
壠	rou
壡	akiraka
壢	ana
壣	oka
壤	tsuchi
壥	ten
壧	ana
壨	rai
壩	ruseki
士	samurai
壬	mizunoe
壮	sakan
壯	sakan
声	koe
壱	hitotsu
売	uru
壳	kara
壴	tateru
壷	tsubo
壸	heyanotsuro
壹	hitotsu
壺	tsubo
壻	muko
壼	heyanotsuro
壽	kotobuki
壾	bou
壿	mau
夂	okureru
夃	moukeru
夅	ooriru
夆	sakarau
変	kawaru
夊	suinyou
夋	ogoriiru
夌	shinogu
夎	itsuwaru
夏	natsu
夐	haruka
夒	mezaru
夓	natsu
夔	ki
夕	yuu
外	soto
夗	korogariusu
夘	u
夙	tsutoni
多	ooi
夛	oushi
夜	yoru
夝	hareru
夠	atsumaru
夡	ooi
夢	yume
夣	yume
夤	tsutsushimiosoreru
夥	obitada
大	ookii
夨	katamukeru
天	ame
太	futoi
夫	otto
夬	wakeru
夭	wakai
央	nakaba
夯	katsugu
夰	hanatsu
失	ushinau
夲	susumu
夳	tai
夵	susumu
夶	kuraaberu
夷	tairageru
夸	ogoru
夾	hasamu
夿	ookii
奀	yaseru
奃	ookii
奄	oou
奅	munashii
奆	ookii
奇	kushi
奇跡	kiseki
奈	karanashi
奉	tatematsuru
奌	bochi
奎	mata
奏	kanaderu
奐	torikaeru
契	chigiru
奒	tatematsuuru
奓	haru
奔	hashiru
奕	ookii
套	kasaneru
奘	sakan
奙	hon
奚	nanzo
奛	akiraka
奜	ookii
奝	ookii
奞	habataku
奟	kou
奠	matsuru
奡	anadoru
奢	ogoru
奣	akiraka
奥	oku
奧	oku
奨	susumeru
奩	kushige
奪	ubau
奫	izumi
奬	susumeru
奭	sakan
奮	furuu
奯	ookii
奰	semaru
奱	yojiru
奲	ookii
女	onna
奴	yakko
奵	tei
奶	chichi
奷	sen
奸	okasu
她	azaru
奻	iiarasou
奼	otome
好	konomu
奾	sen
奿	gan
妁	nakoudo
如	gotoku
妃	kisaki
妄	midari
妅	kou
妊	haramu
妋	musaborusama
妌	shizuka
妍	utsukushii
妎	netamu
妏	umareru
妐	shou
妒	netamu
妓	wazaogi
妕	azana
妖	namameku
妗	utsukushii
妘	un
妙	wakai
妚	fuu
妛	shi
妝	yosoou
妞	juu
妟	yasuraka
妠	metoru
妡	kin
妢	fun
妣	nakihaha
妤	yo
妥	yasui
妦	mimeyoi
妧	mimeyoisama
妨	samatageru
妬	netamu
妭	mimeyoi
妮	hashitame
妯	aiyome
妰	shizuka
妱	shou
妲	datsu
妳	haha
妴	taoyaka
妵	mimeyoisama
妶	ken
妷	mei
妸	a
妹	imouto
妺	azana
妻	tsuma
妼	hi
妽	shin
妾	mekake
姀	ka
姁	haha
姃	azana
姄	bin
姅	mimosagakizutsuku
姆	kashizuki
姇	yorokobu
姈	azana
姉	ane
姊	ane
始	hajimeru
姌	zen
姍	mimeyoi
姎	watakushi
姏	baba
姐	ane
姑	shuutome
姒	ane
姓	kabane
委	yudaneru
姖	kyo
姗	mimeyoi
姘	hin
姙	haramu
姚	utsukushii
姛	tou
姜	tsuyoi
姝	utsukushii
姞	tsutsushimu
姟	kai
姠	shou
姡	atsukamashii
姢	adeyaka
姣	mimeyoi
姤	au
姥	uba
姦	midara
姧	kashimashii
姨	oba
姩	den
姪	mei
姫	hime
姬	hime
姭	mimeyoisama
姮	kou
姯	mimeyoi
姱	ogorusama
姲	azana
姳	mimeyoi
姴	utsukushii
姵	hai
姶	shizuka
姷	taguu
姸	utsukushii
姹	hokoru
姺	shin
姻	totsugu
姼	taoyame
姽	shitoyakanisusumusama
姾	sen
姿	sugata
娀	shuu
威	odosu
娃	utsukushii
娄	tsunagu
娉	tou
娊	ken
娌	aiyome
娍	suraritoshitemimeyoi
娎	kokochiyoi
娏	bou
娑	mau
娒	uba
娓	sunao
娕	tsutsushimu
娖	tsutsumu
娗	suraritoshitemimeyoi
娘	musume
娙	suraritoshitemimeyoi
娚	meoto
娛	tanoshimu
娜	shinayaka
娞	adeyaka
娟	adeyaka
娠	haramu
娣	imouto
娤	yosoou
娥	mimeyoi
娧	mimeyoi
娨	gouman
娩	umu
娪	onna
娬	kobiru
娭	tahomureru
娮	den
娯	tanoshimu
娰	ane
娵	yome
娶	metoru
娷	tsui
娸	minikui
娹	ken
娼	asobime
娾	yorokobu
娿	sadamaranai
婀	taoyaka
婁	munashii
婂	ben
婃	sou
婄	oroka
婅	azana
婆	baba
婇	uneme
婈	azana
婉	utsukushii
婊	hyou
婌	shuku
婍	mimeyoi
婐	taoyaka
婑	haberu
婒	tan
婓	samayou
婕	mimeyoi
婖	ten
婗	midorigo
婘	mimeyoi
婚	engumi
婛	kei
婜	utsukushii
婝	ten
婞	motoru
婟	koishitau
婠	shinayoi
婢	hashitame
婣	in
婤	mimeyoisama
婥	mimeyoi
婦	yome
婧	ateyakanasama
婩	totonou
婪	musaboru
婬	tawakeru
婭	aimuko
婰	ten
婳	shitoyaka
婷	utsukushii
婸	midara
婺	bu
婻	utsukushii
婼	shaku
婽	mimeyoi
婾	warugashikoi
婿	muko
媃	juu
媄	mimeyoi
媊	sen
媋	utsukushii
媌	mimeyoi
媎	so
媏	tan
媐	tsuma
媒	nakoudo
媓	haha
媔	netamu
媕	en
媖	ei
媗	ken
媙	utsukushii
媚	kobiru
媛	hime
媜	azana
媝	shuu
媞	tsumabiraka
媟	kegasu
媠	mimeyoi
媢	netamu
媤	shi
媥	hen
媦	imouto
媧	kai
媩	ko
媪	ouna
媬	ho
媭	ane
媮	warugashikoi
媰	haramu
媱	mimeyoi
媲	tsureahi
媳	yome
媴	en
媵	okuru
媶	jou
媷	okotaru
媸	anadoru
媹	riu
媺	yoi
媻	ogoru
媼	ouna
媽	haha
媾	yoshimi
媿	hajiru
嫀	shin
嫁	totsugu
嫂	anyome
嫄	gen
嫆	azana
嫇	ozuozutosuru
嫈	mimeyoisama
嫉	netamu
嫊	so
嫋	taoyaka
嫌	kirau
嫍	tau
嫏	rou
嫐	naburu
嫕	shitoyaka
嫖	karui
嫗	ouna
嫘	rui
嫙	mimeyoi
嫚	anadoru
嫛	midorigo
嫜	shiuto
嫝	kau
嫞	shou
嫟	midara
嫠	yamome
嫡	yotsugi
嫢	akiraka
嫣	en
嫥	motsupara
嫦	kou
嫨	ikaru
嫩	wakai
嫪	kohishitahu
嫫	shikome
嫬	sha
嫭	otome
嫮	otome
嫳	okoru
嫴	makaseru
嫵	kobiru
嫶	yatsureru
嫷	mimeyoi
嫸	hazukashimeru
嫹	mimeyoisama
嫺	miyabiyaka
嫻	miyabiyaka
嫽	tawamureru
嫿	shitoyaka
嬀	warugashikoi
嬁	utsukushii
嬂	shoku
嬃	ane
嬅	kuwa
嬇	kuwai
嬈	wazuruwashii
嬉	tanoshimu
嬋	hikitsunaga
嬌	namamekashii
嬍	bi
嬎	han
嬏	han
嬐	subayai
嬓	keu
嬔	fu
嬖	kiniiri
嬗	yurui
嬙	sobame
嬚	ren
嬛	katai
嬝	taoyaka
嬞	tou
嬠	musaboru
嬡	ai
嬢	musume
嬣	karadanosama
嬤	ba
嬥	yoi
嬦	chiu
嬧	shin
嬨	shi
嬪	hime
嬬	yowai
嬭	haha
嬮	mimeyoi
嬯	nibui
嬰	fureru
嬲	naburu
嬴	ei
嬶	kaka
嬷	ba
嬸	shin
嬼	yamome
嬽	mimeyoi
嬾	okotaru
嬿	en
孀	yamome
孁	onnanoazana
孃	musume
孅	kayowai
孇	sawa
孈	orokadeshinaotsukuru
孋	mata
孌	shitau
孍	gen
孎	tsutsushimu
子	ko
孑	hitori
孒	hidarinoudeganai
孔	ana
孕	haramu
孖	hutago
字	aza
存	son
孚	tamago
孛	botsu
孜	tsutomeru
孝	kou
孞	shin
孟	kashira
季	sue
孤	minashigo
孥	tsumako
学	manabu
孨	tsutsushimu
孩	chinomigo
孫	mago
孮	sou
孯	katai
孰	tare
孱	yowai
孲	akago
孳	umu
孵	kaesu
孶	umu
孷	hutago
學	manabu
孺	chinomigo
孻	dai
孼	wakibara
孽	wakibara
孾	midorigo
孿	hutago
宀	yane
宁	takuwaeru
它	hebi
宄	midare
宅	ie
宆	sora
宇	noki
守	mamoru
安	yasui
宊	tsuuku
宋	sumai
完	mattai
宍	shishi
宎	eu
宏	hiroi
宐	miroshii
宑	uchiido
宒	chun
宓	yasuraka
宔	shu
宕	sugiru
宖	yasuraka
宗	mune
官	tsukasa
宙	sora
定	sadameru
宛	atakamo
宜	yoroshii
宝	takara
実	mi
客	maroudo
宣	noru
室	muro
宥	yurusu
宦	tsukaeru
宨	hoshiimama
宩	shi
宫	miya
宬	kura
宭	mureiru
宮	miya
宯	kigaagarinusu
宰	tsukasadoru
宱	hiroi
宲	shimaikomu
害	sokonau
宴	utage
宵	yoi
家	ie
宷	tsumabiraka
宸	noki
容	ireru
宺	hiroi
宻	shigeshi
宼	ada
宿	yadoru
寀	chigyousho
寁	sumiyaka
寂	sabishii
寃	kagamu
寄	yoru
寅	tora
密	shigeshi
寇	adasuru
寉	tsuru
寊	tei
寋	ken
富	tomu
寍	mushiro
寎	obieru
寏	gururitomegurashitakaki
寐	neru
寑	husu
寒	samui
寓	yoru
寔	makotoni
寕	yasui
寖	hitasu
寗	negai
寘	oku
寙	monoui
寚	takara
寛	hiroi
寜	yasui
寝	neru
寞	sabishii
察	shiru
寠	mazushii
寡	yamome
寢	neru
寣	obieru
寤	sameru
寥	sabishii
實	mi
寧	yasui
寨	toride
審	tsumabiraka
寪	i
寫	utsusu
寬	hiroi
寮	tsukasa
寯	atsumeru
寰	kan
寱	negoto
寲	akirakanisuru
寳	takara
寴	shitashii
寵	megumi
寶	takara
寸	hakaru
对	mukau
寺	tera
寽	toru
対	mukau
寿	kotobuki
尀	dekinu
封	sakai
専	moppara
尃	shiku
射	iru
尅	katsu
将	hikiiru
將	hikiiru
專	moppara
尉	osaeru
尊	tattoi
尋	tazuneru
尌	tateru
對	mukau
導	michibiku
小	chiisai
尐	sukunai
少	sukunai
尒	shikari
尓	nanji
尔	nanji
尖	togaru
尗	mame
尙	shou
尚	kuwaeru
尞	kagaribi
尟	sukunai
尠	sukunai
尢	ashinae
尣	mageashi
尤	togameru
尥	yukinayamu
尦	yukinayamu
尨	mukuinu
尩	ashinae
尪	magaru
尫	magaru
尬	ashinae
尭	takai
尮	ashinae
尯	umu
尰	shou
就	tsuku
尲	kan
尳	kotsu
尵	umagayamu
尶	kan
尷	kan
尸	shikabane
尹	osa
尺	monosashi
尻	shiri
尼	ama
尽	tsukusu
尾	o
尿	ibari
局	tsubone
屁	he
屃	neiki
屄	hi
居	iru
屆	todokeru
屇	ana
屈	kagamu
届	todokeru
屋	ya
屌	chou
屍	shikabane
屎	kuso
屏	shirizoku
屐	hakimono
屑	isagyoi
屓	neiki
屔	dei
展	tsuraneru
屖	yasumu
屙	a
屚	moru
屛	shirizoku
屜	kutsushiki
属	yakara
屟	tei
屠	hofuru
屡	shibashiba
屢	shibashiba
屣	zouri
層	kasanaru
履	haku
屧	shikiwara
屨	kutsu
屩	itogutsu
屪	ryou
屫	kyaku
屬	yakara
屭	sakan
屮	hidari
屯	tamurosuru
屰	sakarau
山	yama
屳	sen
屴	sobierusama
屵	kishigataka
屶	nata
屹	sobadatsu
屺	ki
屻	jin
屼	gotsu
屽	kan
屾	shin
岀	deru
岅	han
岆	eu
岇	yamanotakiisama
岈	kodama
岉	butsu
岊	setsu
岋	gou
岌	takai
岏	kehashii
岐	edamichi
岑	mine
岒	ken
岓	ki
岔	machigau
岕	kai
岝	saku
岟	humoto
岠	kyo
岡	oka
岣	itadaki
岤	ketsu
岥	kuzurerusama
岦	ryuu
岧	teu
岨	ishama
岩	iwa
岪	yamamichi
岫	kuki
岬	misaki
岭	rei
岮	kuzurerusama
岯	hi
岰	you
岱	kawariau
岲	kou
岳	take
岴	kewashii
岵	yama
岶	shigeru
岷	bin
岸	kishi
岺	rei
岻	ji
岼	yuri
岾	yama
峀	shuu
峅	kura
峆	kahu
峇	kou
峈	raku
峉	gaku
峊	fu
峋	shun
峌	tetsu
峎	gon
峏	ji
峐	kai
峒	tou
峔	bo
峕	shi
峖	an
峗	gi
峘	kan
峙	sobadatsu
峚	bitsu
峛	sakamichi
峜	kazoheru
峝	ebisu
峞	ki
峟	you
峠	touge
峡	hazama
峣	kewashii
峨	takane
峩	kewashii
峪	tani
峫	ya
峬	ho
峭	kewashii
峮	tsuranaru
峯	mine
峰	mine
峱	dou
峲	yamanonarabusama
峴	kewashii
峵	kou
島	shima
峷	shin
峸	sei
峹	to
峺	saegiru
峻	takai
峽	hazama
崁	ku
崄	kewashii
崆	kou
崇	takai
崈	shuu
崋	ka
崍	rai
崎	saki
崏	bin
崐	kon
崑	kon
崒	kewashii
崔	majiwaru
崕	gake
崖	gake
崗	oka
崘	ron
崙	ron
崚	ryou
崛	sobadatsu
崝	sau
崟	mine
崠	tou
崡	kan
崢	sou
崣	i
崤	kou
崥	hei
崦	en
崧	sobadatsu
崨	sehu
崩	kuzureru
崫	sobadatsu
崱	shoku
崲	kou
崳	yu
崴	wai
崵	seu
崶	hou
崷	shiu
崸	ton
崹	tei
崺	i
崼	shi
崽	kodomo
崿	gake
嵀	chiu
嵁	kan
嵂	kewashii
嵃	kehashii
嵅	kan
嵆	kei
嵇	kei
嵈	kan
嵉	tei
嵊	shou
嵋	bi
嵌	ana
嵎	kuma
嵐	arashi
嵑	sobieru
嵒	iwa
嵓	gan
嵕	sou
嵖	sa
嵗	sei
嵙	yamashina
嵜	kewashii
嵞	to
嵟	takai
嵠	tani
嵡	yamanosama
嵢	sou
嵣	tau
嵤	yamanofukaisama
嵥	ketsu
嵧	riu
嵨	o
嵩	takai
嵪	katai
嵬	takai
嵭	kuzureru
嵯	kewashii
嵰	yamanotakuisama
嵱	you
嵲	getsu
嵳	kewashii
嵶	tao
嵷	shou
嵹	kyou
嵺	takai
嵼	san
嵽	tetsu
嵾	shin
嵿	tei
嶀	to
嶁	itadaki
嶂	mine
嶃	kewashii
嶄	kewashii
嶆	sau
嶇	kewashii
嶈	shau
嶉	sui
嶊	sui
嶋	shima
嶌	shima
嶍	shihu
嶐	ryuu
嶒	shou
嶓	ha
嶔	kewashiisama
嶕	seu
嶙	rin
嶚	ryou
嶛	ryou
嶜	shin
嶝	sakamichi
嶞	ta
嶟	sobadatsu
嶠	kyou
嶡	kei
嶢	kewashii
嶧	tsuranaru
嶨	kaku
嶩	dau
嶪	gyou
嶫	takai
嶬	kewashii
嶭	gatsu
嶮	kewashii
嶯	shiu
嶰	tani
嶱	katsu
嶲	meguri
嶴	oku
嶵	sai
嶷	satoi
嶸	kewashii
嶹	shima
嶺	mine
嶼	shima
嶽	take
巀	satsu
巂	sui
巃	kewashii
巆	kou
巇	kewashii
巉	san
巋	tsuranaru
巌	kewashii
巍	takai
巎	dou
巏	ken
巐	yamanosama
巑	san
巒	mine
巓	itadaki
巔	itadaki
巖	kewashii
巘	mine
巙	ki
巛	kawa
巜	kai
川	kawa
州	su
巟	kou
巠	kei
巡	meguru
巣	su
巤	tategami
工	takumi
左	hidari
巧	takumi
巨	ookii
巩	kyou
巫	miko
差	sasu
己	onore
已	sudeni
巳	mi
巴	tomoe
巵	sakazuki
巷	chimata
巸	hiroiago
巹	shitagau
巺	tatsumi
巻	maku
巽	tatsumi
巾	fukin
巿	hizakake
帀	meguru
市	ichi
布	nuno
帄	tei
帆	ho
帇	tewazagasubayai
帊	ha
帋	kami
希	mare
帍	hire
帎	tan
帑	kanegura
帒	fukuro
帔	hukuro
帕	tsutsumu
帖	kakimono
帘	sakebata
帙	fumaki
帚	houki
帛	kinu
帝	mikado
帟	hiratobari
帠	nori
帡	oou
帢	kahu
帣	hukuro
帤	geyo
帥	hikiiru
带	obi
帨	tehuki
帩	hachimaki
師	miyako
帬	eriate
席	mushiro
帮	tasukeru
帯	obi
帰	kaeru
帲	oou
帳	tobari
帴	eriate
帵	tachiamarinokire
帶	obi
帷	tobari
常	tsune
帽	boushi
帾	hata
幀	kakemono
幁	zukin
幂	oou
幃	tobari
幄	tobari
幅	haba
幇	tasukeru
幈	hei
幉	tazuna
幊	nuno
幋	atamanokazari
幌	horo
幍	tou
幎	tobari
幏	ka
幐	nioibukuro
幑	mejirushinonuno
幓	shin
幔	maku
幕	oou
幖	shirushi
幗	kamikazari
幘	zukin
幙	baku
幚	tasukeru
幛	nuno
幜	kinu
幝	sen
幞	zukin
幟	nobori
幠	ohohi
幡	hata
幢	hata
幣	nusa
幤	hei
幦	urushinurinonuno
幧	zukin
幨	tobari
幩	kutsuwanokazari
幪	hukusa
幫	tasukeru
幬	tobari
幭	ohohi
幮	tobari
幯	nuguhu
幰	horo
幱	nagaikoromo
干	hosu
平	taira
年	toshi
幵	tairaka
并	awaseru
幷	awaseru
幸	saiwai
幹	miki
幺	chiisai
幻	maboroshi
幼	osanai
幽	kurai
幾	iku
广	ie
庀	osameru
庁	yakusho
庂	shoku
広	hiroi
庄	inaka
庇	oou
庈	kin
庉	ton
床	yuka
庋	todana
庌	hisashi
庍	hai
庎	tana
序	tsuide
底	soko
庖	kuriya
店	mise
庚	kanoe
庛	shi
府	yakusho
庠	manabiya
庢	sahegiritodomeru
庣	teu
庤	takuwaeru
庥	kage
度	tabi
座	suwaru
庨	kou
庪	ki
庫	kura
庬	hakkirishinai
庭	niwa
庮	iu
庯	ho
庰	ooi
庱	chou
庲	ihe
庳	hikui
庴	seki
庵	iori
庶	moromoro
康	yasui
庸	mochiiru
庻	moromoro
庽	yoru
庾	kura
庿	mitamaya
廀	kakusu
廁	kawaya
廂	hisashi
廃	sutareru
廅	ahu
廆	kaki
廇	riu
廈	ie
廉	kado
廊	watadono
廋	kakusu
廌	chi
廎	ihenokatahara
廐	umaya
廑	kin
廒	gou
廓	toride
廔	mado
廕	ohohu
廖	munashii
廗	ihegayugamu
廘	komegura
廙	tenmaku
廚	kuriya
廛	yashiki
廜	ihori
廝	komono
廞	tsuraneru
廟	tamaya
廠	umaya
廡	hisashi
廢	sutareru
廣	hiroi
廥	magusagura
廦	kaki
廧	shau
廨	yakusho
廩	kura
廪	kura
廫	munashii
廬	iori
廮	ochitsuku
廯	komegura
廰	yakusho
廱	yawaragu
廲	rei
廳	yakusho
廴	nobasu
廵	jun
延	nobiru
廷	niwa
廸	michi
建	tateru
廻	meguru
廼	sunawachi
廽	mawasu
廾	sasageru
廿	nijuu
弁	kanmuri
异	ageru
弃	suteru
弄	moteasobu
弅	fun
弆	osameru
弇	oou
弈	eki
弉	sakan
弊	tsukareru
弋	igurumi
弌	hitotsu
弍	futatsu
弎	mi
式	nori
弐	futatsu
弑	shiisuru
弒	shiisuru
弓	yumi
弔	tomurau
引	hiku
弖	te
弗	doru
弘	hiroi
弙	ohatsutenerafu
弚	tai
弛	yurumu
弜	tsuyoi
弝	yuzuka
弟	otouto
弡	tsuyokuisamashii
弢	yumibukuro
弣	yuzuka
弤	tei
弥	hisashii
弦	tsuru
弧	kyumi
弨	sorikaeru
弩	ishumi
弫	yumigatsuyoi
弬	yuminona
弭	yuhazu
弮	ishiyumi
弯	hiku
弰	yuhazu
弱	yowai
弴	eyumi
張	haru
弶	amioharu
強	tsuyoi
弸	michiru
弹	tama
强	tsuyoi
弻	tasukeru
弼	tasukeru
弽	yugake
弾	tama
弿	yumigatsuyoi
彀	kou
彁	sei
彂	hanatsu
彃	iru
彄	yuhazu
彅	nagi
彇	yuwazu
彈	tama
彉	kuwaku
彊	tsuyoi
彋	tobarinohirugaherukoe
彌	hisashii
彍	haru
彎	hiku
彏	kuwaku
彐	keigashira
彑	kei
当	ataru
彔	kizamu
彖	toku
彗	houki
彘	buta
彙	harinezumi
彚	harinezumi
彛	tsune
彜	tsune
彝	tsune
彞	tsune
彟	kaku
彠	hakaru
彡	kami
形	katachi
彣	aya
彤	akai
彥	hiko
彦	hiko
彧	aya
彩	irodoru
彪	aya
彫	horu
彬	akiraka
彭	yuku
彯	heu
彰	aya
影	kage
彲	mizuchi
彳	teki
彴	marukibashi
彵	shizukaniyuku
彶	kihu
彷	samayou
彸	awateteyukusama
役	tsutome
彺	isogiyuku
彼	kare
彽	tachimotohoru
彾	rei
彿	nikayou
往	yuku
征	utsu
徂	yuku
徃	yuku
径	komichi
待	matsu
徆	yuku
徇	tonaeru
很	motoru
徉	samayou
徊	samayou
律	nori
後	okureru
徍	yuku
徏	noboru
徐	omomuro
徑	komichi
徒	kachi
従	shitagau
徖	yasuraka
得	eru
徘	samayou
徙	utsuru
徛	ki
徜	samayou
徝	hodokosu
從	shitagau
徠	kuru
御	on
徢	shou
徤	takeshi
徧	amaneshi
徨	samayou
復	kaeru
循	shitagau
徫	yaku
徬	tsukisou
徭	edachi
微	kasuka
徯	komisa
徰	iku
徱	karui
徳	oshie
徴	shirushi
徵	shirushi
德	oshie
徸	yukusama
徹	tooru
徼	meguru
徽	yoi
心	kokoro
忄	ritsushinben
必	kanarazu
忇	kourougaookii
忈	shitashimu
忉	ureeru
忋	tanomu
忌	imu
忍	shinobu
忐	munashii
忑	munashii
忒	kawaru
忓	kiwameru
忔	yorokobu
忖	hakaru
志	kokorozasu
忘	wasureru
忙	isogashii
応	kotaeru
忝	katajikena
忞	tsutomeru
忠	magokoro
忡	ureeru
忢	satoru
忤	sakarau
忨	musaboru
忩	niwaka
忪	odoroku
快	kokoroyoi
忬	arakajime
忭	tanoshimu
忮	sakarau
忯	tsutsushimu
忰	segare
忱	makoto
忲	narau
忳	ureeru
念	omou
忶	modaeru
忷	osoreru
忸	hajiru
忺	nozomu
忻	yorokobu
忼	nageku
忽	yurugaseni
忿	ikaru
怇	anadoru
怊	kanashimu
怍	hajiru
怎	ikade
怏	uramu
怐	oroka
怒	ikaru
怓	midareru
怔	osoreawateru
怕	osoreru
怖	kowai
怗	odayaka
怘	katame
怙	tanomu
怚	ogoru
怛	itamu
怜	satoi
思	omou
怟	modaeru
怠	okotaru
怡	yorokobu
怤	omou
急	isogu
怦	hou
性	saga
怨	uramu
怩	hazu
怪	ayashii
怫	fusagu
怭	anadoru
怯	obieru
怱	niwaka
